Date,Number of game,Team,League,Game Number,Score,At-bats,Hits,Doubles,Triples,Homeruns,RBIs,Sacrifice Hits,Sacrifice Flies,Hit-by-pitch,Walks,Intentional Walks,Strikeouts,Stolen Bases,Caught Stealing,Grounded into DP,Left on Base,Pitchers Used,Individual Earned Runs,Earned Runs,Wild Pitches,Balks,Putouts,Assists,Errors,Passed Balls,Double Plays,Triple Plays
20150922,0,MIN,AL,150,3,32,8,4,1,0,3,0,0,1,4,0,6,0,0,0,10,3,1,1,0,0,27,14,1,0,0,0
20150923,0,MIN,AL,151,4,31,8,3,0,1,4,0,0,1,4,1,8,0,0,1,8,4,2,2,0,0,27,9,0,0,2,0
20150924,0,MIN,AL,152,3,36,11,1,0,2,3,0,0,0,1,0,5,0,0,1,7,7,6,6,1,0,27,7,0,0,1,0
20151002,0,MIN,AL,160,1,31,6,0,0,0,1,0,0,0,2,0,7,0,0,2,5,4,3,3,0,0,27,9,3,0,0,0
20151003,0,MIN,AL,161,1,32,6,1,0,0,1,0,0,0,4,0,16,1,0,1,8,5,2,2,0,0,27,10,3,0,1,0
20151004,0,MIN,AL,162,1,34,7,0,0,0,1,0,0,0,6,0,7,0,0,1,12,5,6,6,1,0,27,13,0,0,0,0
20160411,0,MIN,AL,7,1,31,6,1,0,0,1,0,0,0,3,0,7,0,0,1,6,3,2,2,1,0,27,9,1,0,0,0
20160413,0,MIN,AL,8,0,29,4,1,0,0,0,2,0,0,5,1,9,0,0,0,9,4,3,3,0,0,27,11,0,0,1,0
20160414,0,MIN,AL,9,1,31,4,1,1,0,1,0,0,1,2,0,6,2,0,0,6,4,3,3,0,0,27,8,1,0,1,0
20160415,0,MIN,AL,10,5,32,8,4,0,0,5,0,0,1,3,1,7,0,0,0,7,5,4,4,0,0,27,18,1,0,2,0
20160416,0,MIN,AL,11,6,33,10,1,1,3,6,0,0,1,2,0,4,2,0,0,6,3,4,4,0,0,27,14,0,0,0,0
20160417,0,MIN,AL,12,3,44,13,2,0,0,2,1,0,1,5,1,6,1,0,1,13,6,2,2,0,0,36,14,1,0,0,0
20160418,0,MIN,AL,13,7,31,14,3,1,2,6,0,0,0,1,0,5,1,0,1,7,1,3,3,0,0,18,7,1,0,0,0
20160419,0,MIN,AL,14,5,34,8,1,0,2,4,0,0,0,6,0,5,0,0,1,8,5,2,2,3,0,27,8,2,1,2,0
20160425,0,MIN,AL,20,4,29,5,2,0,1,4,0,0,0,4,1,5,0,0,0,5,5,3,3,2,1,27,7,1,0,1,0
20160426,0,MIN,AL,21,6,37,14,6,0,1,6,0,0,0,3,1,6,1,1,0,9,3,5,5,0,0,27,7,0,0,0,0
20160427,0,MIN,AL,22,5,35,9,2,0,1,5,0,1,0,3,0,7,2,0,0,7,5,5,5,1,0,27,9,2,0,1,0
20160429,0,MIN,AL,23,2,34,7,1,0,0,2,0,0,0,2,0,9,0,0,0,7,6,9,9,2,0,27,9,0,0,4,0
20160430,0,MIN,AL,24,1,33,7,0,0,1,1,0,0,0,1,0,10,0,1,1,6,4,1,1,1,0,27,6,2,0,2,0
20160501,0,MIN,AL,25,5,35,11,3,0,0,5,1,1,0,3,0,5,1,0,0,8,5,6,6,0,0,27,6,0,0,1,0
20160510,0,MIN,AL,32,3,32,6,1,0,1,3,0,1,0,2,0,12,1,0,0,5,5,5,5,1,0,27,6,1,0,1,0
20160511,0,MIN,AL,33,2,34,8,1,0,1,2,0,0,0,2,0,3,1,0,1,7,4,9,9,0,0,27,7,0,0,2,0
20160519,0,MIN,AL,40,2,35,4,0,0,0,2,0,1,0,1,0,12,2,1,0,2,5,3,3,0,0,33,13,0,0,1,0
20160520,0,MIN,AL,41,3,36,10,3,1,1,3,0,0,0,0,0,8,1,0,2,6,5,9,9,1,0,27,12,0,0,1,0
